Country Name,CO2_emissions,health_spending,GNI,DPT_vax,Measles_vax,HIV_incidence,TB_incidence,life_expectancy,cell_subs,safe_water_pct,safe_sanitation_pct,poverty_rate
Myanmar,0.588207515,286.72555539999996,4600.0,89.0,83.0,0.9936923076923078,355.0,66.558,89.81715795,54.38439475,60.85804939,1.4
Namibia,1.802197016,920.4567261,9990.0,88.0,80.0,6.39,565.0,63.021,111.552451,72.09441406816394,57.94876916857851,4.530555555555556
Nepal,0.399165018,157.7546845,3600.0,90.0,90.0,0.06,253.0,70.169,130.629366,22.31621106,41.1154797,4.530555555555556
Netherlands,9.100887639,5498.881836,55510.0,94.0,93.0,0.05,5.2,81.76097561,120.62500109999999,99.97540088,97.49010655,0.2
New Caledonia,4.140249228967392,1449.1322523124295,20412.66304347826,87.67213114754098,87.0327868852459,0.9936923076923078,14.0,77.53902439,107.72459359056994,95.95694506,57.94876916857851,4.530555555555556
New Zealand,6.838956291000001,3815.657227,40700.0,94.0,93.0,0.05,7.4,81.65853659,136.1113084,98.19670075,81.30071781,4.530555555555556
Nicaragua,0.845752981,473.00387570000004,5690.0,98.0,99.0,0.21,44.0,74.068,128.1139122,55.31084506,57.94876916857851,4.530555555555556
Niger,0.09582274,77.6079483,1210.0,85.0,82.0,0.09,90.0,61.599,40.63849996,72.09441406816394,15.01045325,4.530555555555556
Nigeria,0.591596789,221.11015319999996,5030.0,55.0,54.0,0.76,219.0,53.95,75.92482161,20.60090577,28.73534958,4.530555555555556
North Macedonia,3.7752233910000004,1011.274292,15030.0,91.0,83.0,0.9936923076923078,13.0,75.589,96.44629481,77.92998941,12.34358909,4.6
Norway,6.992651841,6515.912109000001,66400.0,96.0,96.0,0.04,5.1,82.6097561,107.99306920000001,98.86851367,64.34303832,0.3
Oman,14.98094912,1651.551758,27770.0,99.0,99.0,0.9936923076923078,6.7,77.393,148.82162780000002,89.47486537,57.94876916857851,4.530555555555556
Pakistan,0.9509095470000001,152.1294861,4500.0,75.0,76.0,0.18,267.0,66.947,69.51482483,35.86274126,57.94876916857851,4.530555555555556
Panama,2.495882403,1688.3657230000001,28610.0,81.0,98.0,0.82,57.0,78.149,128.57297309999998,72.09441406816394,57.94876916857851,2.5
Papua New Guinea,0.912534407,97.06598663,4200.0,36.0,38.0,0.62,432.0,64.01,47.61771578,72.09441406816394,57.94876916857851,4.530555555555556
